n_robots,rep,robot_id,tick,vl,vr,error,collision,boundary,transporting,home,force,delivered,state,x,y
1,0,fb0,2020,15.0,2.76,0,0,0,0,0,0,2,APPROACH,-0.04,-0.95
1,0,fb0,2030,15.0,6.36,0,0,0,0,0,0,2,APPROACH,0.03,-1.02
1,0,fb0,2040,15.0,1.37,0,0,0,1,0,1,2,TRANSPORT,0.03,-1.12
1,0,fb0,2050,15.0,6.4,0,0,0,1,0,1,2,TRANSPORT,-0.03,-1.18
1,0,fb0,2060,15.0,2.72,0,0,0,1,0,0,2,TRANSPORT,-0.14,-1.19
1,0,fb0,2070,15.0,9.2,0,0,0,1,0,0,2,TRANSPORT,-0.22,-1.13
1,0,fb0,2080,-8.71,15.0,0,0,0,0,0,0,2,APPROACH,-0.28,-1.01
1,0,fb0,2090,0.61,15.0,0,0,0,0,0,0,2,APPROACH,-0.32,-0.99
1,0,fb0,2100,5.18,15.0,0,0,0,0,0,0,2,APPROACH,-0.39,-1.04
1,0,fb0,2110,15.0,-3.29,0,0,0,1,0,1,2,TRANSPORT,-0.42,-1.15
1,0,fb0,2120,15.0,5.65,0,0,0,1,0,0,2,TRANSPORT,-0.45,-1.21
1,0,fb0,2130,15.0,8.84,0,0,0,1,0,0,2,TRANSPORT,-0.55,-1.25
1,0,fb0,2140,-2.27,15.0,0,0,0,0,0,0,2,APPROACH,-0.6,-1.27
1,0,fb0,2150,3.85,15.0,0,0,0,0,0,0,2,APPROACH,-0.59,-1.34
1,0,fb0,2160,7.01,15.0,0,0,0,0,0,0,2,APPROACH,-0.5,-1.39
1,0,fb0,2170,1.05,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.41,-1.39
1,0,fb0,2180,5.57,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.36,-1.31
1,0,fb0,2190,5.11,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.37,-1.22
1,0,fb0,2200,14.73,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.47,-1.15
1,0,fb0,2210,15.0,-3.26,0,0,0,0,0,0,2,APPROACH,-0.55,-1.1
1,0,fb0,2220,15.0,3.33,0,0,0,0,0,0,2,APPROACH,-0.53,-1.03
1,0,fb0,2230,15.0,6.68,0,0,0,0,0,0,2,APPROACH,-0.44,-0.99
1,0,fb0,2240,-1.19,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.35,-0.99
1,0,fb0,2250,6.45,15.0,0,0,0,1,0,0,2,TRANSPORT,-0.29,-0.93
1,0,fb0,2260,15.0,-9.42,0,0,0,0,0,0,2,APPROACH,-0.27,-0.84
1,0,fb0,2270,15.0,0.43,0,0,0,0,0,0,2,APPROACH,-0.23,-0.82
